@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R41-42-weka.filters.unsupervised.attribute.Remove-R37-40

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute Y0 numeric
@attribute Y1 numeric
@attribute Y2 numeric
@attribute Y3 numeric
@attribute Y4 numeric
@attribute Y5 numeric
@attribute Y6 numeric
@attribute Y7 numeric
@attribute Y8 numeric
@attribute Y9 numeric
@attribute Z0 numeric
@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Z8 numeric
@attribute Z9 numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XPEAK numeric
@attribute YPEAK numeric
@attribute ZPEAK numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0.01,0.08,0.13,0.12,0.14,0.1,0.06,0.09,0.12,0.09,0.08,0.13,0.14,0.1,0.14,0.06,0.1,0.1,0.09,0.02,0.17,0.07,0.06,0.1,0.08,0.09,0.15,0.07,0.11,0.12,0,6,-0.29,513.16,469.05,3900,Jogging
0.05,0.14,0.1,0.08,0.05,0.09,0.14,0.11,0.16,0.02,0.08,0.1,0.12,0.09,0.08,0.16,0.09,0.07,0.11,0.02,0.12,0.11,0.12,0.05,0.11,0.11,0.13,0.08,0.1,0.1,0,6.78,-0.59,433.33,423.91,575,Jogging
0.05,0.09,0.07,0.07,0.11,0.1,0.14,0.14,0.11,0.02,0.06,0.13,0.08,0.1,0.07,0.14,0.11,0.1,0.09,0,0.06,0.11,0.08,0.04,0.11,0.09,0.15,0.13,0.15,0.11,0,7.7,0.55,482.5,447.5,3125,Jogging
0.05,0.09,0.15,0.06,0.04,0.15,0.13,0.15,0.09,0.04,0.1,0.08,0.07,0.1,0.14,0.09,0.08,0.15,0.1,0.04,0.13,0.1,0.09,0.09,0.07,0.09,0.13,0.13,0.06,0.14,0,7.03,-0.22,450,410.87,2575,Jogging
0.04,0.08,0.14,0.03,0.05,0.16,0.15,0.12,0.14,0.02,0.1,0.06,0.08,0.06,0.14,0.13,0.07,0.11,0.14,0.06,0.1,0.11,0.11,0.09,0.12,0.08,0.15,0.07,0.09,0.09,0,7.68,-0.98,374,388,2133.33,Jogging
0.03,0.11,0.13,0.07,0.09,0.13,0.14,0.09,0.12,0.04,0.11,0.12,0.11,0.08,0.12,0.12,0.08,0.07,0.11,0.02,0.14,0.11,0.09,0.09,0.06,0.12,0.19,0.07,0.06,0.11,0,5.96,-0.99,527.78,497.37,4050,Jogging
0.06,0.09,0.03,0.15,0.09,0.13,0.13,0.11,0.14,0.02,0.12,0.11,0.12,0.07,0.12,0.08,0.09,0.12,0.12,0.02,0.1,0.11,0.09,0.09,0.09,0.1,0.08,0.11,0.11,0.14,0,6.15,0.13,491.67,420.45,2033.33,Jogging
0.04,0.17,0.07,0.14,0.08,0.12,0.11,0.12,0.07,0.02,0.11,0.11,0.06,0.23,0.1,0.08,0.1,0.08,0.08,0.04,0.09,0.12,0.07,0.11,0.15,0.13,0.13,0.06,0.05,0.1,0,5.18,-0.62,431.82,500,2800,Jogging
0.04,0.14,0.07,0.08,0.1,0.11,0.14,0.11,0.12,0.02,0.07,0.14,0.14,0.11,0.08,0.11,0.06,0.12,0.07,0.04,0.06,0.14,0.09,0.1,0.11,0.13,0.07,0.11,0.1,0.11,0,6.51,-0.18,376.92,466.67,2250,Jogging
0.06,0.12,0.07,0.08,0.08,0.09,0.16,0.12,0.08,0.03,0.11,0.19,0.07,0.08,0.08,0.08,0.1,0.12,0.07,0.04,0.08,0.12,0.07,0.11,0.12,0.11,0.08,0.08,0.13,0.12,0,5.97,-0.07,418.18,513.16,3075,Jogging
0.09,0.08,0.12,0.05,0.1,0.13,0.09,0.17,0.06,0.02,0.11,0.07,0.14,0.09,0.11,0.11,0.09,0.11,0.1,0.02,0.09,0.05,0.17,0.12,0.08,0.11,0.13,0.1,0.08,0.11,0,6.28,-0.41,459.52,438.1,3950,Jogging
0.05,0.12,0.1,0.09,0.12,0.1,0.09,0.09,0.13,0.03,0.09,0.1,0.15,0.07,0.1,0.11,0.12,0.09,0.07,0.03,0.16,0.1,0.1,0.07,0.11,0.1,0.12,0.07,0.05,0.16,0,6.24,-0.78,400,484.21,2083.33,Jogging
0.04,0.12,0.1,0.12,0.07,0.09,0.16,0.13,0.06,0.02,0.08,0.12,0.1,0.15,0.16,0.09,0.09,0.05,0.06,0.04,0.14,0.11,0.05,0.11,0.07,0.14,0.11,0.12,0.09,0.09,0,5.58,-0.54,505.56,505.56,2583.33,Jogging
0.03,0.11,0.14,0.08,0.04,0.16,0.16,0.11,0.08,0.03,0.14,0.09,0.11,0.09,0.13,0.13,0.08,0.07,0.08,0.04,0.12,0.1,0.09,0.07,0.07,0.07,0.17,0.17,0.1,0.07,0,5.31,-0.49,529.41,454.76,3750,Jogging
0.07,0.14,0.07,0.06,0.08,0.13,0.12,0.14,0.11,0.04,0.13,0.09,0.05,0.11,0.11,0.18,0.13,0.08,0.06,0.01,0.08,0.09,0.15,0.09,0.05,0.13,0.11,0.15,0.13,0.05,0,5.35,-0.38,538.89,567.65,900,Jogging
0.05,0.09,0.1,0.06,0.11,0.19,0.09,0.1,0.1,0.06,0.15,0.08,0.05,0.11,0.14,0.08,0.1,0.12,0.09,0.05,0.1,0.13,0.09,0.08,0.13,0.1,0.09,0.07,0.17,0.06,0,6.14,-0.76,526.47,526.47,3625,Jogging
0.13,0.1,0.05,0.06,0.06,0.1,0.13,0.07,0.09,0.02,0.11,0.06,0.05,0.1,0.07,0.11,0.13,0.07,0.15,0.04,0.09,0.15,0.11,0.16,0.09,0.07,0.09,0.11,0.12,0.04,0,8.07,-1.31,489.47,606.67,2850,Jogging
0.12,0.08,0.07,0.07,0.11,0.05,0.06,0.1,0.15,0.1,0.07,0.07,0.05,0.09,0.15,0.11,0.04,0.12,0.16,0.05,0.1,0.1,0.1,0.13,0.05,0.08,0.09,0.12,0.14,0.1,0,8.63,-0.48,520,533.33,2450,Jogging
0.14,0.06,0.05,0.05,0.08,0.16,0.14,0.08,0.15,0.03,0.1,0.08,0.06,0.1,0.06,0.11,0.17,0.11,0.12,0.03,0.12,0.07,0.11,0.07,0.09,0.08,0.06,0.17,0.2,0.05,0,7.91,-0.55,507.89,507.89,1000,Jogging
0.16,0.06,0.08,0.07,0.07,0.13,0.15,0.1,0.09,0.02,0.13,0.09,0.04,0.06,0.09,0.09,0.17,0.18,0.05,0.03,0.12,0.11,0.12,0.06,0.07,0.13,0.09,0.16,0.12,0.04,0,7.23,-1.13,380,527.78,3100,Jogging
0.09,0.09,0.1,0.06,0.04,0.07,0.11,0.18,0.18,0.04,0.1,0.05,0.07,0.13,0.08,0.1,0.11,0.15,0.14,0.01,0.05,0.13,0.08,0.07,0.08,0.08,0.16,0.2,0.12,0.06,0,7.54,0.11,511.11,575,1300,Jogging
0.07,0.08,0.07,0.05,0.08,0.11,0.16,0.15,0.15,0.03,0.08,0.09,0.1,0.12,0.05,0.09,0.14,0.14,0.1,0.04,0.1,0.09,0.07,0.16,0.08,0.1,0.1,0.14,0.13,0.06,0,7.83,-0.81,497.37,497.37,2750,Jogging
0.07,0.08,0.07,0.1,0.07,0.11,0.16,0.12,0.16,0.02,0.11,0.08,0.07,0.06,0.07,0.15,0.17,0.08,0.13,0.01,0.06,0.09,0.08,0.09,0.08,0.13,0.1,0.21,0.12,0.08,0,6.92,0.14,395.65,488.89,1275,Jogging
0.03,0.11,0.13,0.18,0.11,0.08,0.08,0.12,0.07,0.04,0.08,0.1,0.13,0.13,0.12,0.12,0.08,0.12,0.06,0.02,0.06,0.12,0.11,0.07,0.17,0.09,0.11,0.08,0.1,0.12,0,5.71,0.09,425,494.74,2816.67,Jogging
0.1,0.09,0.09,0.06,0.1,0.1,0.1,0.08,0.13,0.06,0.08,0.08,0.15,0.08,0.06,0.12,0.13,0.07,0.15,0.04,0.11,0.12,0.11,0.08,0.11,0.07,0.07,0.12,0.1,0.11,0,6.9,-0.04,508.82,400,675,Jogging
0.06,0.07,0.13,0.16,0.12,0.07,0.07,0.15,0.09,0.05,0.19,0.09,0.12,0.1,0.12,0.05,0.09,0.08,0.1,0.02,0.14,0.06,0.1,0.12,0.11,0.08,0.12,0.05,0.11,0.13,0,4.73,-0.44,653.57,633.33,1750,Jogging
0.05,0.12,0.07,0.12,0.16,0.09,0.1,0.13,0.1,0.02,0.12,0.1,0.13,0.11,0.07,0.08,0.1,0.11,0.12,0.01,0.07,0.08,0.15,0.14,0.11,0.12,0.05,0.08,0.11,0.12,0,6.2,-0.08,445,438.1,933.33,Jogging
0.05,0.15,0.08,0.13,0.1,0.1,0.08,0.1,0.11,0.04,0.11,0.14,0.08,0.1,0.12,0.1,0.07,0.14,0.08,0.02,0.13,0.14,0.09,0.1,0.12,0.07,0.1,0.11,0.08,0.09,0,6.05,-1.14,378,470,2700,Jogging
0.07,0.1,0.07,0.13,0.14,0.09,0.08,0.12,0.11,0.03,0.11,0.15,0.09,0.06,0.12,0.1,0.12,0.1,0.09,0.02,0.14,0.06,0.12,0.12,0.07,0.11,0.13,0.09,0.08,0.11,0,5.87,-0.64,571.88,538.24,2416.67,Jogging
0.04,0.08,0.13,0.1,0.14,0.09,0.08,0.15,0.14,0.03,0.09,0.2,0.13,0.07,0.1,0.08,0.08,0.07,0.12,0.02,0.06,0.07,0.13,0.12,0.13,0.18,0.06,0.09,0.08,0.11,0,4.97,-0.02,596.67,626.67,2200,Jogging
0.01,0.19,0.12,0.07,0.1,0.11,0.06,0.11,0.17,0.02,0.12,0.11,0.17,0.14,0.08,0.1,0.08,0.08,0.09,0.03,0.07,0.11,0.14,0.11,0.12,0.15,0.07,0.07,0.03,0.15,0,4.66,-0.43,502.78,455,3050,Jogging
0.06,0.11,0.08,0.05,0.1,0.12,0.13,0.19,0.1,0.02,0.08,0.15,0.12,0.11,0.05,0.11,0.09,0.14,0.13,0.02,0.08,0.11,0.06,0.1,0.11,0.08,0.09,0.1,0.1,0.2,0,6.21,0.73,687.5,567.65,1125,Jogging
0.03,0.16,0.09,0.08,0.12,0.1,0.09,0.11,0.14,0.03,0.11,0.14,0.1,0.08,0.09,0.11,0.11,0.1,0.07,0.06,0.09,0.13,0.08,0.14,0.15,0.06,0.1,0.04,0.12,0.12,0,6.26,-0.34,386.96,366.67,1333.33,Jogging
0.07,0.1,0.08,0.1,0.16,0.09,0.07,0.08,0.12,0.07,0.14,0.07,0.15,0.12,0.08,0.09,0.06,0.1,0.12,0.03,0.04,0.11,0.14,0.1,0.13,0.1,0.11,0.08,0.08,0.13,0,5.79,0.12,429.55,408.7,3225,Jogging
0.06,0.11,0.08,0.11,0.12,0.06,0.09,0.09,0.15,0.03,0.09,0.07,0.12,0.16,0.11,0.09,0.1,0.08,0.12,0.02,0.13,0.13,0.08,0.13,0.11,0.08,0.07,0.06,0.09,0.15,0,6.41,-0.29,430.95,481.58,2750,Jogging
0.03,0.14,0.1,0.13,0.17,0.06,0.07,0.13,0.1,0.02,0.16,0.12,0.1,0.09,0.09,0.11,0.09,0.11,0.06,0.02,0.12,0.09,0.12,0.16,0.12,0.08,0.05,0.14,0.07,0.08,0,5.28,-0.98,454.76,530.56,2916.67,Jogging
0.08,0.11,0.12,0.02,0.05,0.17,0.11,0.14,0.1,0.04,0.09,0.16,0.09,0.1,0.08,0.11,0.09,0.07,0.1,0.05,0.17,0.1,0.14,0.11,0.07,0.12,0.08,0.06,0.06,0.12,0,6.21,-1.47,564.71,480,1275,Jogging
0.08,0.11,0.09,0.08,0.1,0.07,0.13,0.1,0.14,0.03,0.11,0.17,0.08,0.11,0.1,0.08,0.06,0.11,0.11,0.05,0.09,0.13,0.11,0.11,0.14,0.12,0.1,0.04,0.09,0.08,0,6.07,-0.88,372.92,370,2775,Jogging
0.03,0.03,0.02,0.02,0.02,0.04,0.04,0.03,0.04,0.01,0.03,0.09,0.01,0.02,0.03,0.02,0.02,0.03,0.02,0.04,0.01,0.02,0.08,0.02,0.04,0.03,0.01,0.03,0.03,0.04,0,1.52,-0.05,675,450,475,Jogging
0.16,0.1,0.12,0.11,0.13,0.1,0.1,0.09,0.04,0.07,0.08,0.11,0.09,0.09,0.07,0.05,0.14,0.16,0.14,0.1,0.14,0.15,0.11,0.12,0.09,0.05,0.11,0.07,0.05,0.13,0,9.61,-0.55,1366.67,845.45,2066.67,Walking
0.18,0.11,0.09,0.11,0.11,0.08,0.12,0.11,0.03,0.09,0.1,0.11,0.05,0.09,0.07,0.06,0.13,0.14,0.17,0.11,0.11,0.15,0.15,0.06,0.1,0.07,0.11,0.07,0.07,0.12,0,9.71,-0.5,1430,800,2050,Walking
0.16,0.1,0.12,0.09,0.12,0.07,0.09,0.12,0.05,0.1,0.1,0.12,0.07,0.07,0.05,0.13,0.09,0.14,0.14,0.1,0.11,0.14,0.13,0.06,0.13,0.07,0.08,0.12,0.09,0.1,0,9.54,-0.51,1575,885,1225,Walking
0.13,0.14,0.1,0.1,0.12,0.1,0.07,0.11,0.09,0.06,0.09,0.14,0.07,0.09,0.08,0.1,0.08,0.1,0.16,0.11,0.14,0.12,0.08,0.08,0.1,0.12,0.08,0.1,0.08,0.12,0,9.56,-0.43,1230,657.14,1800,Walking
0.1,0.06,0.11,0.12,0.14,0.14,0.19,0.07,0.06,0.04,0.08,0.08,0.05,0.13,0.1,0.13,0.12,0.11,0.15,0.08,0.13,0.11,0.12,0.16,0.08,0.06,0.08,0.06,0.14,0.08,0,9.48,-0.72,1370,1125,4125,Walking
0.1,0.15,0.11,0.09,0.07,0.11,0.14,0.12,0.07,0.07,0.11,0.1,0.08,0.11,0.09,0.08,0.15,0.1,0.12,0.1,0.09,0.14,0.1,0.11,0.11,0.09,0.11,0.08,0.1,0.09,0,9.28,-0.49,1940,772.73,1325,Walking
0.11,0.16,0.09,0.09,0.12,0.09,0.05,0.11,0.1,0.1,0.09,0.08,0.11,0.08,0.08,0.1,0.15,0.14,0.12,0.09,0.13,0.14,0.12,0.09,0.08,0.1,0.1,0.08,0.09,0.09,0,9.47,-0.62,2366.67,920,3375,Walking
0.11,0.11,0.11,0.1,0.15,0.09,0.11,0.09,0.09,0.08,0.1,0.07,0.11,0.06,0.11,0.1,0.13,0.15,0.08,0.1,0.11,0.12,0.15,0.08,0.13,0.08,0.04,0.11,0.08,0.12,0,9.3,-0.4,1391.67,759.09,1583.33,Walking
0.14,0.09,0.11,0.07,0.12,0.09,0.1,0.08,0.12,0.1,0.12,0.08,0.09,0.1,0.08,0.12,0.1,0.11,0.09,0.12,0.15,0.11,0.12,0.08,0.09,0.1,0.08,0.1,0.05,0.14,0,9.33,-0.4,1270,671.43,1133.33,Walking
0.15,0.1,0.1,0.1,0.11,0.09,0.07,0.1,0.1,0.1,0.13,0.05,0.11,0.1,0.09,0.09,0.1,0.12,0.12,0.11,0.18,0.14,0.1,0.1,0.05,0.08,0.07,0.06,0.09,0.14,0,9.42,-0.48,1630,711.54,2025,Walking
0.12,0.13,0.1,0.07,0.09,0.09,0.06,0.07,0.1,0.18,0.1,0.14,0.12,0.07,0.08,0.08,0.07,0.15,0.11,0.1,0.16,0.11,0.12,0.08,0.08,0.09,0.07,0.08,0.12,0.12,0,9.18,-0.37,1230,692.31,2000,Walking
0.09,0.15,0.09,0.08,0.1,0.08,0.1,0.1,0.12,0.12,0.11,0.12,0.14,0.08,0.09,0.06,0.12,0.09,0.09,0.13,0.1,0.13,0.13,0.08,0.1,0.12,0.08,0.08,0.1,0.11,0,9.25,-0.38,2075,790.91,4400,Walking
0.11,0.14,0.1,0.07,0.05,0.09,0.13,0.11,0.11,0.11,0.06,0.17,0.16,0.12,0.07,0.07,0.08,0.07,0.12,0.1,0.06,0.09,0.14,0.06,0.17,0.13,0.1,0.1,0.08,0.09,0,9.08,-0.46,1575,809.09,2116.67,Walking
0.06,0.12,0.11,0.11,0.07,0.09,0.12,0.12,0.13,0.1,0.08,0.14,0.14,0.12,0.11,0.07,0.08,0.09,0.1,0.1,0.1,0.13,0.09,0.07,0.13,0.11,0.1,0.09,0.11,0.09,0,8.97,-0.34,3650,642.31,2087.5,Walking
0.08,0.11,0.1,0.1,0.09,0.08,0.11,0.09,0.15,0.12,0.08,0.15,0.15,0.09,0.08,0.08,0.09,0.1,0.09,0.12,0.07,0.11,0.1,0.07,0.12,0.12,0.1,0.14,0.1,0.09,0,9.03,-0.19,1750,887.5,1575,Walking
0.07,0.12,0.13,0.1,0.09,0.05,0.1,0.08,0.19,0.1,0.11,0.14,0.11,0.14,0.06,0.06,0.09,0.1,0.09,0.12,0.09,0.13,0.07,0.09,0.13,0.11,0.08,0.14,0.07,0.1,0,9.05,-0.31,2287.5,800,2025,Walking
0.08,0.13,0.11,0.08,0.08,0.08,0.11,0.08,0.15,0.13,0.16,0.12,0.1,0.11,0.1,0.09,0.06,0.11,0.08,0.1,0.08,0.12,0.09,0.08,0.12,0.11,0.1,0.13,0.12,0.08,0,8.81,-0.34,1590,840,2000,Walking
0.07,0.11,0.13,0.09,0.12,0.09,0.08,0.08,0.11,0.14,0.16,0.12,0.08,0.09,0.08,0.09,0.07,0.09,0.13,0.12,0.1,0.1,0.09,0.08,0.12,0.1,0.11,0.1,0.11,0.12,0,9.15,-0.13,1512.5,827.27,2050,Walking
0.08,0.13,0.1,0.11,0.13,0.09,0.08,0.13,0.09,0.08,0.07,0.1,0.12,0.11,0.1,0.09,0.09,0.14,0.11,0.09,0.09,0.05,0.09,0.13,0.12,0.1,0.08,0.14,0.13,0.1,0,9.22,-0.1,2075,779.17,1625,Walking
0.06,0.11,0.05,0.14,0.12,0.15,0.12,0.09,0.1,0.08,0.08,0.11,0.11,0.09,0.13,0.15,0.11,0.09,0.07,0.09,0.08,0.08,0.15,0.13,0.1,0.08,0.08,0.09,0.1,0.12,0,9.04,-0.21,1350,1007.14,2137.5,Walking
0.06,0.07,0.07,0.13,0.15,0.12,0.1,0.11,0.11,0.09,0.08,0.07,0.12,0.11,0.16,0.14,0.09,0.07,0.1,0.08,0.06,0.08,0.13,0.06,0.16,0.09,0.1,0.13,0.14,0.08,0,8.98,-0.22,1850,733.33,3850,Walking
0.1,0.08,0.05,0.12,0.12,0.12,0.15,0.12,0.07,0.08,0.07,0.1,0.09,0.14,0.16,0.17,0.07,0.06,0.09,0.08,0.08,0.05,0.11,0.07,0.13,0.15,0.11,0.1,0.17,0.05,0,8.89,-0.34,1950,1031.25,600,Walking
0.06,0.07,0.07,0.14,0.15,0.13,0.13,0.09,0.11,0.07,0.06,0.12,0.13,0.11,0.09,0.15,0.13,0.07,0.08,0.1,0.1,0.05,0.09,0.12,0.14,0.11,0.1,0.12,0.13,0.08,0,9.06,-0.35,1433.33,1940,2450,Walking
0.07,0.08,0.11,0.12,0.14,0.11,0.12,0.13,0.06,0.09,0.07,0.1,0.07,0.13,0.09,0.19,0.11,0.08,0.1,0.09,0.08,0.08,0.08,0.15,0.12,0.1,0.12,0.09,0.1,0.1,0,9.19,-0.2,2166.67,785.71,2187.5,Walking
0.06,0.06,0.1,0.12,0.15,0.12,0.11,0.12,0.08,0.09,0.07,0.1,0.13,0.11,0.15,0.13,0.13,0.05,0.05,0.1,0.07,0.07,0.11,0.16,0.13,0.08,0.12,0.12,0.08,0.09,0,8.91,-0.43,1070,1143.75,1625,Walking
0.08,0.08,0.06,0.12,0.15,0.12,0.09,0.1,0.11,0.11,0.08,0.11,0.11,0.12,0.15,0.11,0.1,0.1,0.06,0.08,0.09,0.09,0.08,0.16,0.1,0.07,0.13,0.09,0.11,0.1,0,8.82,-0.34,1266.67,905,1100,Walking
0.08,0.06,0.07,0.16,0.09,0.16,0.17,0.09,0.04,0.1,0.06,0.07,0.12,0.1,0.17,0.11,0.12,0.09,0.11,0.06,0.06,0.1,0.11,0.11,0.13,0.09,0.1,0.11,0.15,0.07,0,9.03,-0.36,1700,1370,3425,Walking
0.08,0.06,0.07,0.15,0.15,0.12,0.13,0.12,0.08,0.07,0.07,0.11,0.1,0.11,0.14,0.15,0.13,0.06,0.08,0.08,0.09,0.09,0.14,0.11,0.13,0.08,0.1,0.1,0.09,0.1,0,8.95,-0.45,1228.57,860,2325,Walking
0.07,0.09,0.07,0.11,0.14,0.14,0.16,0.09,0.07,0.08,0.13,0.07,0.08,0.11,0.14,0.11,0.1,0.11,0.08,0.1,0.06,0.11,0.11,0.13,0.12,0.08,0.09,0.11,0.13,0.09,0,9.04,-0.27,2150,1392.86,4525,Walking
0.11,0.09,0.12,0.07,0.13,0.11,0.09,0.08,0.12,0.09,0.06,0.13,0.06,0.1,0.12,0.12,0.12,0.14,0.08,0.1,0.08,0.12,0.11,0.11,0.12,0.08,0.09,0.1,0.12,0.1,0,9.28,-0.31,1587.5,668.18,1566.67,Walking
0.11,0.08,0.13,0.08,0.1,0.12,0.09,0.15,0.07,0.08,0.07,0.11,0.09,0.07,0.07,0.14,0.13,0.15,0.12,0.08,0.1,0.12,0.08,0.09,0.09,0.09,0.1,0.13,0.15,0.07,0,9.41,-0.3,1416.67,945,2783.33,Walking
0.09,0.09,0.09,0.14,0.13,0.09,0.09,0.1,0.09,0.12,0.08,0.1,0.08,0.1,0.18,0.12,0.12,0.09,0.07,0.1,0.07,0.08,0.12,0.1,0.15,0.11,0.08,0.12,0.08,0.11,0,9.07,-0.3,1416.67,910,3150,Walking
0.09,0.09,0.11,0.12,0.1,0.12,0.1,0.1,0.1,0.1,0.09,0.11,0.12,0.06,0.11,0.12,0.12,0.11,0.07,0.11,0.11,0.09,0.14,0.12,0.11,0.07,0.14,0.06,0.05,0.14,0,9.1,-0.4,1031.25,770.83,2100,Walking
0.09,0.05,0.13,0.13,0.1,0.12,0.11,0.04,0.12,0.12,0.12,0.08,0.1,0.1,0.09,0.13,0.12,0.08,0.11,0.1,0.11,0.07,0.09,0.18,0.11,0.08,0.09,0.08,0.07,0.13,0,9.16,-0.33,1420,831.82,2366.67,Walking
0.11,0.11,0.12,0.09,0.08,0.09,0.07,0.08,0.12,0.15,0.15,0.11,0.09,0.07,0.11,0.07,0.11,0.11,0.1,0.11,0.11,0.08,0.1,0.13,0.1,0.1,0.1,0.12,0.08,0.11,0,9.02,-0.33,1420,703.85,1235.71,Walking
0.12,0.13,0.08,0.07,0.09,0.11,0.07,0.08,0.14,0.13,0.14,0.1,0.07,0.13,0.07,0.09,0.08,0.12,0.11,0.11,0.14,0.12,0.09,0.07,0.07,0.1,0.13,0.11,0.08,0.11,0,9.22,-0.34,1150,643.33,1500,Walking
0.11,0.12,0.1,0.12,0.04,0.1,0.09,0.07,0.12,0.14,0.12,0.12,0.07,0.12,0.08,0.12,0.07,0.12,0.12,0.09,0.08,0.09,0.08,0.12,0.13,0.11,0.11,0.1,0.07,0.14,0,9,-0.11,2683.33,865,2050,Walking
0.1,0.13,0.12,0.08,0.06,0.09,0.11,0.07,0.14,0.12,0.15,0.1,0.08,0.08,0.12,0.1,0.07,0.11,0.1,0.12,0.1,0.09,0.11,0.11,0.17,0.06,0.09,0.12,0.06,0.12,0,9.15,-0.23,1307.14,596.88,3050,Walking
0.14,0.11,0.09,0.09,0.09,0.09,0.08,0.08,0.12,0.13,0.13,0.11,0.09,0.05,0.11,0.1,0.09,0.11,0.12,0.11,0.1,0.11,0.09,0.06,0.1,0.11,0.17,0.08,0.12,0.09,0,9.22,-0.25,2033.33,657.14,2075,Walking
0.15,0.15,0.12,0.04,0.06,0.1,0.08,0.09,0.12,0.12,0.14,0.08,0.08,0.08,0.06,0.1,0.11,0.12,0.14,0.1,0.15,0.08,0.07,0.08,0.1,0.1,0.15,0.06,0.12,0.12,0,9.37,-0.28,2525,818.18,1140,Walking
0.1,0.09,0.13,0.1,0.06,0.06,0.12,0.11,0.12,0.14,0.1,0.12,0.11,0.15,0.09,0.06,0.09,0.09,0.11,0.11,0.1,0.08,0.09,0.09,0.15,0.1,0.1,0.08,0.12,0.12,0,9.08,-0.16,1458.33,673.08,3700,Walking
0.12,0.14,0.09,0.09,0.07,0.07,0.13,0.04,0.13,0.15,0.13,0.11,0.14,0.1,0.07,0.07,0.06,0.12,0.09,0.13,0.07,0.12,0.13,0.08,0.12,0.13,0.09,0.07,0.11,0.1,0,9.15,-0.29,1950,550,587.5,Walking
0.1,0.12,0.1,0.11,0.09,0.09,0.07,0.09,0.11,0.15,0.13,0.12,0.14,0.11,0.1,0.08,0.05,0.08,0.11,0.11,0.08,0.1,0.12,0.14,0.11,0.11,0.08,0.1,0.06,0.13,0,8.85,-0.2,1180,1200,1200,Walking
0.1,0.13,0.07,0.11,0.08,0.12,0.05,0.13,0.12,0.11,0.12,0.12,0.15,0.1,0.07,0.07,0.07,0.1,0.09,0.13,0.04,0.15,0.11,0.1,0.1,0.09,0.09,0.08,0.16,0.09,0,9.08,-0.14,1840,1375,2216.67,Walking
0.12,0.13,0.07,0.12,0.06,0.05,0.08,0.12,0.15,0.11,0.15,0.08,0.16,0.1,0.06,0.05,0.07,0.12,0.11,0.13,0.12,0.09,0.1,0.07,0.1,0.12,0.11,0.07,0.15,0.09,0,9.1,-0.22,1810,1292.86,4525,Walking
0.18,0.12,0.1,0.07,0.04,0.06,0.11,0.12,0.13,0.1,0.16,0.06,0.08,0.08,0.13,0.12,0.09,0.08,0.1,0.12,0.12,0.1,0.08,0.06,0.06,0.12,0.16,0.13,0.11,0.09,0,9.14,-0.29,1450,700,1975,Walking
0.12,0.11,0.11,0.07,0.09,0.07,0.08,0.15,0.12,0.11,0.18,0.07,0.09,0.06,0.08,0.1,0.08,0.11,0.1,0.16,0.12,0.11,0.07,0.03,0.07,0.08,0.18,0.15,0.12,0.1,0,9.51,-0.06,1271.43,785,3000,Walking
0.09,0.07,0.13,0.11,0.1,0.08,0.11,0.08,0.13,0.12,0.15,0.08,0.1,0.09,0.13,0.11,0.08,0.06,0.1,0.1,0.14,0.06,0.09,0.09,0.11,0.11,0.12,0.1,0.11,0.11,0,8.98,-0.18,1640,707.69,1366.67,Walking
0.09,0.11,0.1,0.11,0.1,0.13,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.13,0.13,0.12,0.08,0.1,0.09,0.06,0.08,0.09,0.06,0.1,0.18,0.14,0.11,0.1,0.1,0,9.18,-0.1,2300,809.09,1150,Walking
0.07,0.11,0.11,0.07,0.12,0.07,0.11,0.15,0.12,0.09,0.08,0.15,0.07,0.16,0.11,0.12,0.1,0.08,0.04,0.12,0.1,0.11,0.08,0.1,0.16,0.05,0.13,0.11,0.09,0.1,0,8.92,-0.38,1025,918.75,775,Walking
0.08,0.07,0.14,0.1,0.08,0.12,0.08,0.11,0.13,0.11,0.09,0.1,0.11,0.13,0.1,0.08,0.1,0.12,0.1,0.08,0.13,0.11,0.08,0.08,0.1,0.11,0.07,0.15,0.08,0.11,0,9.05,-0.29,1850,653.85,520,Walking
0.06,0.1,0.1,0.09,0.1,0.1,0.11,0.16,0.11,0.09,0.07,0.08,0.14,0.13,0.09,0.07,0.15,0.11,0.07,0.11,0.09,0.09,0.1,0.06,0.1,0.1,0.15,0.1,0.09,0.13,0,9.28,0.12,2100,667.86,2783.33,Walking
